what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396286953428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396286995609
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396286996997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396286998209
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396286999637
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396287013910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287024185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287026666
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396287028139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287036039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287036207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287113134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287255167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396287258254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287259386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287309541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287315443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287315612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287332650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287340614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287355306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287355450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396287358351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396287374961
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396287383366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396287401727
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396287420015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396287488235
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396287489909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396287492441
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396287492442
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396287493472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396287558795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287589493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287733910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396287763329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288147211
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288151698
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288161698
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288163393
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1396288185883
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288187295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396288188797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396288189464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288193074
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1396288195746
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288196066
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288196247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288203498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288203661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288207092
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1396288207695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288207966
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1396288212777
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288213097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288213271
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1396288217881
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288325853
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288350392
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288352022
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288382668
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288387574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288394532
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288397345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288477037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288477132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288477537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288489186
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288489328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288489477
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288492896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288494674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288532992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288533120
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288533227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288533371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288572102
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288575358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288578015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288578155
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288578264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288578463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396288626959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396288627453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396288628443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396288628770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288633621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288650057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288766675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288771870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288776953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288777129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288817833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288817876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288830993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396288834757
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396288836325
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288836611
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288836778
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288838496
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288839757
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288840451
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288841168
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288841169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288858142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288858309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288869790
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288879944
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288881646
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288882865
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288888931
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288892086
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288892087
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396288894002
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288894276
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288894439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288902929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288903027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288917525
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288919556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288923691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288949587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288949667
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288949771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288949915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288973323
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396288974763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288978708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396288978872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396288994239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396289012934
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396289035686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396289038536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289040093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289069140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396289073061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289078527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289079624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289098491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289188572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289191260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289296015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289300653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289304673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289310588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396289312528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396289715326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289716737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289722200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289727514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289733479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289740838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289745998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289751620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289756326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289761581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396289769268
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1396290207963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396290209183
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1396290209388
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1396290209507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396290217867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.customizePerspective",1396290217891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396290226741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396290292200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396290317333
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290319925
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290320895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290321849
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290321849
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290333602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290334424
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290334424
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290335736
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290336396
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290336396
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290339119
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290339754
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290339754
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290340923
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396290384656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396290417213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396290440454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396290571617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396295055500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396295061284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396296672946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396296673295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396296673371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396296674062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396298777986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396298783480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304478112
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396304482284
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396304485817
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396304489268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396304513031
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396304514370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396304575973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304609225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304671509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304675207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304678766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304680010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304694938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304697223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396304698481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396304713886
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396304714448
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396304719092
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1396305022582
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.5.1,"org.tigris.subversion.clientadapter.javahl",1396305022589
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.5,"org.tigris.subversion.clientadapter.svnkit",1396305022590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305022876
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1396305030413
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1396305030419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305035237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305042631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396305049379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305056954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305064298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305068348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305074064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305082046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305086780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305088469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305089701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305095933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305098706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396305101158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396305155271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305191482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305201746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305206705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305210985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396305273901
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1396305274135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396305274234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305451219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305474837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305481182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305485004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396305652528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305667683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305681275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305696917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305705669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305706051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305706170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305706522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305707254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305708834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305755439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305767666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396305771557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396306035660
